Transaction ID,Fraud Risk Score,Risk Category,Predicted Typology,Typology Probability Distribution,Key Risk Drivers
TXNA32MO9FSJB91GFGP,0.24,Low Risk,Money Mule Network,"{'Money Mule Network': 37.86, 'Rapid Multi-Hop Layering': 30.47, 'Funnel Account Network': 17.96}",transaction_amount (0.50) | transaction_status (0.41) | sender_running_balance_txn_amount (-0.27)
TXNKCM6COQ99SD5QR6Q,0.01,Low Risk,Funnel Account Network,"{'Funnel Account Network': 85.2, 'Charity Abuse': 14.58, 'Money Mule Network': 0.09}",transaction_amount (-1.27) | cp_fraud_rate_hist (0.64) | hr (-0.45)
TXN1G7XM81HANKYNRWG,98.71,Critical Risk,Charity Abuse,"{'Charity Abuse': 65.5, 'Funnel Account Network': 12.03, 'Third-Party Payment Web': 7.59}",cp_fraud_rate_hist (0.78) | transaction_amount (0.62) | transaction_mode_channel_bank (0.49)
TXNP6LXGZPH4UTSX6P0,0.09,Low Risk,Rapid Multi-Hop Layering,"{'Rapid Multi-Hop Layering': 66.8, 'Circular Transaction Loop': 22.12, 'Money Mule Network': 9.01}",transaction_status (-6.36) | rule_attempted_failed (-0.42) | hr (-0.32)
TXNF5KC10P72UXASRM8,0.13,Low Risk,Funnel Account Network,"{'Funnel Account Network': 78.8, 'Charity Abuse': 12.05, 'Structuring (Smurfing)': 7.64}",transaction_amount (-1.06) | acct_fraud_rate_hist (0.47) | hr (-0.44)
TXNIX0SU46AZ9RATGYJ,36.05,High Risk,Funnel Account Network,"{'Funnel Account Network': 58.45, 'Charity Abuse': 17.32, 'Circular Transaction Loop': 10.14}",transaction_amount (0.56) | transaction_status (0.44) | cp_fraud_rate_hist (0.43)
TXNOWYZ4F5TQU3JJZ4C,0.02,Low Risk,Funnel Account Network,"{'Funnel Account Network': 81.51, 'Charity Abuse': 16.38, 'Structuring (Smurfing)': 1.73}",transaction_amount (-1.24) | acct_fraud_rate_hist (0.44) | transaction_status (0.33)
TXN6KQLP1TITNDWQVB4,0.08,Low Risk,Funnel Account Network,"{'Funnel Account Network': 59.97, 'Money Mule Network': 27.8, 'Rapid Multi-Hop Layering': 7.38}",transaction_status (-6.22) | rule_attempted_failed (-0.43) | cp_fraud_rate_hist (0.36)
TXN8ANGAF3N4ONU9QLE,0.11,Low Risk,Money Mule Network,"{'Money Mule Network': 38.89, 'Rapid Multi-Hop Layering': 34.66, 'Circular Transaction Loop': 8.64}",transaction_amount (0.68) | transaction_mode_channel_bank (-0.42) | transaction_status (0.39)
TXNS12CVRB0QO0A2MYQ,0.03,Low Risk,Money Mule Network,"{'Money Mule Network': 35.76, 'Third-Party Payment Web': 22.43, 'Circular Transaction Loop': 20.21}",transaction_amount (0.85) | cp_fraud_rate_hist (-0.53) | transaction_status (0.41)
TXND8R7O8M0QOA6VCSX,0.0,Low Risk,Funnel Account Network,"{'Funnel Account Network': 82.56, 'Charity Abuse': 16.41, 'Structuring (Smurfing)': 0.59}",transaction_amount (-1.39) | cp_fraud_rate_hist (-0.52) | acct_fraud_rate_hist (0.43)
TXNNZG5U7COK83C2IO4,75.51,Critical Risk,Third-Party Payment Web,"{'Third-Party Payment Web': 83.93, 'Money Mule Network': 7.44, 'Circular Transaction Loop': 4.21}",transaction_amount (0.93) | transaction_mode_channel_bank (0.50) | transaction_status (0.42)
TXNT6669P8MIPSRH99O,0.15,Low Risk,Funnel Account Network,"{'Funnel Account Network': 64.29, 'Structuring (Smurfing)': 30.01, 'Charity Abuse': 4.88}",transaction_status (-4.58) | transaction_amount (-0.65) | rule_attempted_failed (-0.28)
TXNJYW4V8IVWJZKO0C9,0.0,Low Risk,Money Mule Network,"{'Money Mule Network': 52.08, 'Rapid Multi-Hop Layering': 16.92, 'Funnel Account Network': 13.94}",transaction_amount (0.85) | hr (-0.46) | transaction_status (0.39)
TXNUG7BSUZPX74RDL8Z,95.97,Critical Risk,Third-Party Payment Web,"{'Third-Party Payment Web': 74.42, 'Money Mule Network': 7.43, 'Circular Transaction Loop': 7.15}",transaction_amount (0.97) | transaction_mode_channel_bank (0.59) | transaction_status (0.43)
TXNO69SSFNHWTBY8N0I,0.06,Low Risk,Structuring (Smurfing),"{'Structuring (Smurfing)': 45.9, 'Funnel Account Network': 43.37, 'Charity Abuse': 6.68}",transaction_amount (-1.50) | acct_fraud_rate_hist (-0.32) | transaction_status (0.31)
TXNY4KTMJK4Z5ERLWA2,0.1,Low Risk,Funnel Account Network,"{'Funnel Account Network': 68.36, 'Charity Abuse': 23.21, 'Structuring (Smurfing)': 7.32}",transaction_amount (-1.33) | acct_fraud_rate_hist (0.43) | transaction_status (0.33)
TXNVZDAQH83GGKXV173,0.19,Low Risk,Funnel Account Network,"{'Funnel Account Network': 46.92, 'Structuring (Smurfing)': 41.56, 'Charity Abuse': 10.8}",transaction_amount (-1.02) | acct_fraud_rate_hist (0.49) | transaction_status (0.33)
TXNZ2OK6D89W509PJ0Z,0.18,Low Risk,Funnel Account Network,"{'Funnel Account Network': 84.48, 'Charity Abuse': 13.39, 'Structuring (Smurfing)': 1.17}",transaction_amount (-0.98) | acct_fraud_rate_hist (0.42) | transaction_mode_channel_bank (-0.38)
TXNUV0WWJCYL9YR5VFM,78.15,Critical Risk,Third-Party Payment Web,"{'Third-Party Payment Web': 68.67, 'Money Mule Network': 19.36, 'Funnel Account Network': 4.82}",transaction_amount (0.98) | transaction_mode_channel_bank (0.59) | transaction_status (0.43)
TXNAQ809QLK4QES1D87,0.04,Low Risk,Funnel Account Network,"{'Funnel Account Network': 57.03, 'Structuring (Smurfing)': 36.12, 'Charity Abuse': 6.3}",transaction_amount (-1.08) | acct_fraud_rate_hist (0.47) | transaction_status (0.34)
TXN3QSEUB05ZCYJ4XXM,0.07,Low Risk,Funnel Account Network,"{'Funnel Account Network': 67.44, 'Charity Abuse': 21.56, 'Structuring (Smurfing)': 10.11}",transaction_amount (-1.05) | transaction_status (0.31) | transaction_mode_channel_bank (0.28)
TXNWX9YD7D95A714BN0,4.42,Low Risk,Rapid Multi-Hop Layering,"{'Rapid Multi-Hop Layering': 44.95, 'Money Mule Network': 34.61, 'Circular Transaction Loop': 13.05}",transaction_amount (0.70) | transaction_status (0.40) | transaction_mode_channel_bank (-0.39)
TXNTAMC240G5SRVS8OR,87.78,Critical Risk,Circular Transaction Loop,"{'Circular Transaction Loop': 37.48, 'Money Mule Network': 26.47, 'Charity Abuse': 11.95}",transaction_amount (0.68) | cp_fraud_rate_hist (0.63) | transaction_status (0.45)
